player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Michael Stewart,TOR,26.0,208.28,104.32616,26,1.3,1.1,0.1,-21.2,0.131,0.148,0.1669999999999999,0.3939999999999999,0.03,2000-01
Morris Peterson,TOR,23.0,200.66,98.883056,80,9.3,3.2,1.3,2.5,0.068,0.094,0.2019999999999999,0.507,0.093,2000-01
Moochie Norris,HOU,27.0,185.42,79.3786,82,6.6,2.4,3.5,3.2,0.031,0.106,0.1689999999999999,0.546,0.284,2000-01
Monty Williams,ORL,29.0,203.2,102.0582,82,5.0,3.0,1.0,-6.6,0.08,0.145,0.191,0.485,0.122,2000-01
Mitch Richmond,WAS,36.0,195.58,97.52228,37,16.2,2.9,3.0,-2.4,0.0139999999999999,0.093,0.24,0.521,0.16,2000-01
Mikki Moore,DET,25.0,213.36,104.32616,81,4.4,3.9,0.4,-2.8,0.114,0.187,0.151,0.552,0.049,2000-01
Mike Smith,WAS,25.0,203.2,88.45044,17,3.0,1.3,0.6,-8.5,0.061,0.084,0.177,0.386,0.093,2000-01
Mike Penberthy,LAL,26.0,190.5,81.64656,53,5.0,1.2,1.3,-0.6,0.013,0.067,0.141,0.5670000000000001,0.129,2000-01
Mike Miller,ORL,21.0,203.2,98.883056,82,11.9,4.0,1.7,2.6,0.03,0.122,0.183,0.541,0.095,2000-01
Mookie Blaylock,GSW,34.0,185.42,83.91452,69,11.0,3.9,6.7,-8.0,0.03,0.0969999999999999,0.174,0.455,0.32,2000-01
Kendall Gill,NJN,33.0,195.58,97.975872,31,9.1,4.2,2.8,-5.4,0.039,0.128,0.207,0.39,0.17,2000-01
Mark Jackson,NYK,36.0,190.5,92.98636,83,7.6,3.7,8.0,0.4,0.0279999999999999,0.107,0.143,0.505,0.396,2000-01
Mark Blount,BOS,25.0,213.36,104.32616,64,3.9,3.6,0.5,-2.0,0.1,0.147,0.123,0.541,0.049,2000-01
Lari Ketner,IND,24.0,205.74,125.644984,3,0.0,0.0,0.3,-19.7,0.0,0.0,0.155,0.0,0.2,2000-01
Lamond Murray,CLE,28.0,200.66,107.047712,78,12.8,4.4,1.6,-4.9,0.054,0.124,0.233,0.49,0.099,2000-01
Lamar Odom,LAC,21.0,208.28,96.615096,76,17.2,7.8,5.2,-2.9,0.047,0.19,0.243,0.536,0.246,2000-01
LaPhonso Ellis,MIN,31.0,203.2,108.86208,82,9.4,6.0,1.1,1.2,0.1169999999999999,0.182,0.196,0.524,0.079,2000-01
Kurt Thomas,NYK,28.0,205.74,104.32616,77,10.4,6.7,0.8,7.4,0.105,0.191,0.184,0.5660000000000001,0.052,2000-01
Kornel David,DET,29.0,205.74,104.32616,27,2.3,1.9,0.3,-9.1,0.077,0.2,0.142,0.547,0.057,2000-01
Kobe Bryant,LAL,22.0,200.66,95.25432,68,28.5,5.9,5.0,6.3,0.042,0.1169999999999999,0.315,0.552,0.22,2000-01
Laron Profit,WAS,23.0,195.58,92.532768,35,4.3,1.8,2.5,-5.9,0.035,0.088,0.151,0.47,0.2239999999999999,2000-01
Khalid El-Amin,CHI,22.0,177.8,90.7184,50,6.3,1.6,2.9,-10.7,0.023,0.08,0.193,0.4579999999999999,0.288,2000-01
Kevin Willis,DEN,38.0,213.36,111.13004,78,9.3,6.8,0.6,-6.6,0.104,0.217,0.207,0.478,0.048,2000-01
Kevin Ollie,PHI,28.0,187.96,88.45044,70,3.1,1.4,2.1,1.1,0.02,0.099,0.142,0.467,0.268,2000-01
Kevin Garnett,MIN,25.0,210.82,99.79024,81,22.0,11.4,5.0,3.7,0.078,0.252,0.271,0.531,0.215,2000-01
Kevin Edwards,VAN,35.0,190.5,95.25432,46,3.5,1.8,1.1,-3.2,0.0409999999999999,0.102,0.162,0.414,0.126,2000-01
Keon Clark,TOR,26.0,210.82,100.243832,81,7.9,5.4,0.9,1.4,0.087,0.192,0.185,0.512,0.068,2000-01
Kenyon Martin,NJN,23.0,205.74,104.32616,68,12.0,7.4,1.9,-6.4,0.066,0.191,0.2,0.472,0.103,2000-01
Kenny Thomas,HOU,23.0,203.2,117.93392,74,7.1,5.6,1.0,3.6,0.081,0.181,0.162,0.507,0.068,2000-01
Keyon Dooling,LAC,21.0,195.58,87.543256,76,5.9,1.2,2.3,-0.4,0.008,0.07,0.1989999999999999,0.509,0.253,2000-01
