quadruplet
"(Ron Harper, age, net_rating, ts_pct)"
"(Sherman Douglas, age, ast_pct, ast)"
"(Rodney Rogers, gp, player_weight, usg_pct)"
"(Shawn Marion, reb, dreb_pct, pts)"
"(Shawn Kemp, player_weight, dreb_pct, usg_pct)"
"(Shawn Bradley, player_height, reb, dreb_pct)"
"(Shareef Abdur-Rahim, reb, pts, usg_pct)"
"(Shaquille O'Neal, reb, pts, player_weight)"
"(Shammond Williams, ast_pct, ts_pct, gp)"
"(Sean Rooks, player_weight, gp, age)"
"(Sean Elliott, age, net_rating, ts_pct)"
"(Sean Colson, ast_pct, usg_pct, nan)"
"(Scottie Pippen, age, ast, net_rating)"
"(Scott Williams, dreb_pct, net_rating, age)"
"(Shandon Anderson, gp, ts_pct, ast)"
"(Scott Burrell, age, usg_pct, ts_pct)"
"(Ron Mercer, pts, usg_pct, ast)"
"(Roshown McLeod, usg_pct, pts, player_height)"
"(Scott Padgett, oreb_pct, dreb_pct, player_weight)"
"(Ruben Garces, oreb_pct, net_rating, player_weight)"
"(Ruben Patterson, oreb_pct, usg_pct, pts)"
"(Ryan Bowen, ts_pct, oreb_pct, gp)"
"(Sam Cassell, ast, ast_pct, pts)"
"(Shawnelle Scott, oreb_pct, dreb_pct, player_height)"
"(Sam Jacobson, net_rating, ts_pct, nan)"
"(Sam Mitchell, age, gp, nan)"
"(Sam Perkins, age, player_weight, player_height)"
"(Samaki Walker, player_weight, dreb_pct, oreb_pct)"
"(Scot Pollard, player_weight, oreb_pct, net_rating)"
"(Ratko Varda, dreb_pct, ts_pct, usg_pct)"
"(Rasho Nesterovic, player_height, reb, gp)"
"(Rasheed Wallace, pts, reb, dreb_pct)"
"(Rashard Lewis, pts, reb, ts_pct)"
"(Randy Livingston, net_rating, ast_pct, ast)"
"(Randy Brown, ast_pct, age, ast)"
"(Rafer Alston, ast_pct, ast, usg_pct)"
"(Ray Allen, pts, usg_pct, ast)"
"(Raef LaFrentz, reb, player_height, pts)"
"(Popeye Jones, oreb_pct, reb, dreb_pct)"
"(Quincy Lewis, nan, nan, nan)"
"(Quentin Richardson, gp, pts, usg_pct)"
"(Predrag Drobnjak, player_weight, player_height, net_rating)"
"(Peja Stojakovic, pts, ts_pct, net_rating)"
"(Raja Bell, gp, ast_pct, nan)"
"(Primoz Brezec, player_height, oreb_pct, player_weight)"
"(Rodney White, usg_pct, net_rating, player_weight)"
"(Reggie Slater, player_weight, oreb_pct, age)"
"(Ryan Bowen, gp, oreb_pct, player_height)"
"(Paul Pierce, pts, usg_pct, reb)"
"(Rusty LaRue, ast_pct, usg_pct, ast)"
"(Ruben Patterson, oreb_pct, ts_pct, gp)"
"(Ruben Boumtje-Boumtje, player_height, oreb_pct, player_weight)"
"(Ron Mercer, usg_pct, pts, ast)"
"(Rodney Rogers, player_weight, gp, age)"
"(Rodney Buford, gp, reb, pts)"
"(Rod Strickland, ast, ast_pct, age)"
"(Robert Traylor, player_weight, oreb_pct, dreb_pct)"
"(Robert Pack, ast_pct, age, ast)"
"(Robert Horry, net_rating, gp, reb)"
"(Ricky Davis, usg_pct, gp, pts)"
"(Rick Fox, gp, age, ast)"
"(Rick Brunson, ast_pct, age, gp)"
"(Richard Jefferson, gp, net_rating, ts_pct)"
"(Richard Hamilton, pts, usg_pct, ast)"
"(Reggie Miller, age, pts, ts_pct)"
"(Pau Gasol, reb, pts, player_height)"
"(Michael Dickerson, pts, ast, usg_pct)"
"(Pat Garrity, gp, ts_pct, net_rating)"
"(Michael Redd, ts_pct, usg_pct, pts)"
"(Michael Olowokandi, reb, dreb_pct, player_weight)"
"(Michael Jordan, usg_pct, age, pts)"
"(Michael Finley, pts, usg_pct, ast)"
"(Michael Doleac, player_weight, dreb_pct, player_height)"
"(Sam Cassell, ast, pts, ast_pct)"
"(Michael Curry, age, gp, ts_pct)"
"(Michael Ruffin, oreb_pct, player_weight, dreb_pct)"
"(Michael Bradley, dreb_pct, player_height, ts_pct)"
"(Mengke Bateer, player_weight, player_height, dreb_pct)"
"(Maurice Evans, usg_pct, ast_pct, ts_pct)"
"(Matt Harpring, reb, gp, oreb_pct)"
"(Matt Geiger, age, oreb_pct, player_weight)"
"(Matt Bullard, age, player_height, nan)"
"(Mateen Cleaves, usg_pct, ast_pct, nan)"
"(Mark Strickland, age, player_height, dreb_pct)"
"(Metta World Peace, usg_pct, pts, player_weight)"
"(Michael Stewart, oreb_pct, dreb_pct, player_height)"
"(Mike Bibby, ast, gp, pts)"
"(Mike James, ast_pct, usg_pct, dreb_pct)"
"(P.J. Brown, reb, dreb_pct, oreb_pct)"
"(Othella Harrington, oreb_pct, gp, ts_pct)"
"(Oscar Torres, gp, ts_pct, nan)"
